"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","Notes","comorbid_mental?","overall_percent_women","overall_mean_age","mean_age","pooled_sd_age","sd_age","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","percent_women_std_error","baseline_st_error_active","baseline_st_error_control","new_study_id"
"1",NA,1,"Ackerson, 1998","1998","cbt","wl",1,"cbt","wlc","ham-d","hamd",2,"clinician",19.9,5.5,12,21,5,10,8.8,5.3,12,20.5,3.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0.583333333333333,0,0.583333333333333,0,NA,NA,NA,NA,1,64,7,0.2,NA,"n",NA,"us",NA,15.97,1.43,15.89,0.86,NA,NA,NA,NA,"cut",NA,NA,NA,15.9336363636364,15.9336363636364,1.20727585911423,1.20727585911423,-2.05555555555555,-0.119047619047619,"Ackerson, 1998_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.1,-0.5,0,52,0.382692307692308,0.105769230769231,0.403846153846154,0.0961538461538462,0.169230769230769,0.101923076923077,0.394230769230769,0.0653846153846154,0.102336343850693,1.58771324027147,1.58113883008419,"Ackerson, 1998"
"2",NA,4,"Arnarson, 2009","2009","cbt","cau",1,"cbt","cau","DSM",NA,99,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,NA,NA,NA,"n",NA,"eu",NA,NA,NA,NA,NA,14.5,NA,NA,NA,"sub",NA,NA,NA,NA,14.5,NA,NA,NA,NA,"Arnarson, 2009_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arnarson, 2009"
"3",NA,5,"Asarnow, 2002","2002","cbt","wl",1,"cbt + family education","wlc","cdi","cdi",5,"self-report",NA,7.1,NA,NA,10.56,NA,9.54,7.1,12,12.33,10.56,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cut",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asarnow, 2002_cbt + family education_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,NA,0.131481481481481,NA,0.195555555555556,0.176666666666667,0.131481481481481,0.228333333333333,0.195555555555556,NA,NA,NA,"Asarnow, 2002"
"4",3,3,"Atkinson","2014","Duloxetine","Placebo",0,"Duloxetine","Placebo","CDRS-R","cdrs",1,"clinician",59.2,10.5,117,60.2,11.7,103,35,10.5,87,35,11.7,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.67,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2654545454546,NA,NA,10,"n",NA,"USA","7 to 17",13.1,3,13.3,3.1,NA,NA,54.7,49.5,"mdd",NA,NA,52.2654545454546,13.1936363636364,13.1936363636364,3.04719753938544,3.04719753938544,-2.30476190476191,-2.15384615384615,"Atkinson_2014_Duloxetine_Placebo",-24.3,11.59,113,9,117,76,113,4,30,117,16,117,-24.3,11.27,103,3,103,64,103,0,16,103,15,103,NA,NA,17,113,0.439583333333333,0.109375,0.45,0.121875,0.1875,0.109375,0.1875,0.121875,0.03367537349258,0.970725343394151,1.15283525545222,"Atkinson, 2014"
"5",4,4,"Atkinson","2014","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS-R","cdrs",1,"clinician",58.8,10.6,117,60.2,11.7,103,35.6,10.6,91,35,11.7,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.63,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8827272727273,NA,NA,10,"n",NA,"USA","7 to 17",13.1,3.3,13.3,3.1,NA,NA,52.1,49.5,"mdd",NA,NA,50.8827272727273,13.1936363636364,13.1936363636364,3.20797458179319,3.20797458179319,-2.18867924528302,-2.15384615384615,"Atkinson_2014_Fluoxetine_Placebo",-23.7,11.27,113,1,117,71,113,4,26,117,18,117,-24.3,11.27,103,3,103,64,103,0,16,103,15,103,NA,NA,17,113,0.435416666666667,0.110416666666667,0.45,0.121875,0.19375,0.110416666666667,0.1875,0.121875,0.0337047392982728,0.979970346664571,1.15283525545222,"Atkinson, 2014"
"6",5,5,"Berard","2006","Paroxetine","Placebo",0,"Paroxetine","Placebo","MADRS","madrs",3,"clinician",25.9,6.75,182,25.9,5.79,93,12.3,6.75,177,13.1,5.79,177,-13.6,10.91,177,-12.8,10.3,91,"50% improvement from baseline",107,177,0.604519774011299,53,91,0.582417582417582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",15.5,1.6,15.8,1.6,NA,NA,67,67,"mdd",NA,NA,67,15.6014545454545,15.6014545454545,1.6,1.6,-2.01481481481481,-2.21070811744387,"Berard_2006_Paroxetine_Placebo",-13.6,10.91,177,20,187,107,177,10,60,187,6,187,-12.8,10.3,91,7,99,53,91,8,30,99,2,99,NA,NA,0,60,0.431666666666667,0.1125,0.431666666666667,0.0965,0.205,0.1125,0.218333333333333,0.0965,0.0283548937575156,0.500343288746243,0.600395031248916,"Berard, 2006"
"7",NA,7,"Bolton, 2007","2007","ipt","other ctr",1,"ipt","creative play","Acholi Psychosocial Assessment Instrument (APAI): a local instrument","apai",99,"clinician",43.5,10.1,105,44.2,11.2,105,27.8,17.2,105,40.6,15.7,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,21,0.304761904761905,0.2,0.304761904761905,0.2,NA,NA,NA,NA,7,57,NA,NA,NA,"n",NA,"other",NA,15,1.1,14.7,1,NA,NA,NA,NA,"cut",NA,NA,NA,14.85,14.85,1.05118980208143,1.05118980208143,-1.15018315018315,-0.267657992565056,"Bolton, 2007_ipt_creative play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.7,-3.6,0,105,0.414285714285714,0.0961904761904762,0.420952380952381,0.106666666666667,0.264761904761905,0.163809523809524,0.386666666666667,0.14952380952381,0.0341634725568531,0.985659073678019,1.09300808170236,"Bolton, 2007"
"8",NA,6,"Bolton, 2007","2007","ipt","wl",1,"ipt","wlc","Acholi Psychosocial Assessment Instrument (APAI): a local instrument","apai",99,"clinician",43.5,10.1,105,44.2,10.8,104,27.8,17.2,105,37.3,15.9,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,22,0.314285714285714,0.211538461538462,0.314285714285714,0.211538461538462,NA,NA,NA,NA,6,57,39,14,NA,"n",NA,"other",NA,15,1.1,15.2,1.2,NA,NA,NA,NA,"cut",NA,NA,NA,15.0995215311005,15.0995215311005,1.1508451001088,1.1508451001088,-1.15018315018315,-0.51685393258427,"Bolton, 2007_ipt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.7,-6.90000000000001,0,105,0.414285714285714,0.0961904761904762,0.420952380952381,0.102857142857143,0.264761904761905,0.163809523809524,0.355238095238095,0.151428571428571,0.0342451058215225,0.985659073678019,1.05902712974619,"Bolton, 2007"
"9",9,9,"Bristol-Myers Squibb","2002a","Nefazodone","Placebo",0,"Nefazodone","Placebo","CDRS","cdrs",1,"clinician",NA,9.50882352941176,NA,NA,9.51705882352941,NA,NA,11.0676470588235,NA,NA,11.0735294117647,NA,-25.8,NA,NA,-22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","FDA Trial - Poor reporting",NA,NA,NA,NA,NA,NA,NA,NA,"Bristol-Myers Squibb_2002a_Nefazodone_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,NA,0.0990502450980392,NA,0.0991360294117647,NA,0.115287990196078,NA,0.115349264705882,NA,NA,NA,"Bristol-Myers Squibb, 2002a"
"10",12,12,"Bristol-Myers Squibb","2002b","Nefazodone","Placebo",0,"Nefazodone","Placebo","CDRS","cdrs",1,"clinician",61.2,9.50882352941176,90,58.3,9.51705882352941,93,38,11.0676470588235,NA,36.7,11.0735294117647,NA,-23.2,NA,90,-21.6,NA,93,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA,-2.25500285877644,-2.09804593760713,"Bristol-Myers Squibb_2002b_Nefazodone_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.460416666666667,0.0990502450980392,0.430208333333333,0.0991360294117647,0.21875,0.115287990196078,0.205208333333333,0.115349264705882,NA,1.00231800738474,0.986873027590797,"Bristol-Myers Squibb, 2002b"
